2025-01-13 10:09:00,117 | perf_monitor.time | DEBUG | Ended timing collection for inference/model2.decode_1, elapsed: 0.013710s
2025-01-13 10:09:00,117 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model2.decode_1
2025-01-13 10:09:00,117 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:09:00,117 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/fuse, time enabled: True, precision enabled: False
2025-01-13 10:09:00,117 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/fuse_1
2025-01-13 10:09:00,117 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: fuse_1
2025-01-13 10:09:00,117 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: fuse
2025-01-13 10:09:00,117 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,117 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/fuse_1, elapsed: 0.000254s
2025-01-13 10:09:00,117 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: fuse_1
2025-01-13 10:09:00,117 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:09:00,118 | perf_monitor.manager | DEBUG | Set run ID to 3
2025-01-13 10:09:00,118 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/resize, time enabled: True, precision enabled: True
2025-01-13 10:09:00,118 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/resize_1
2025-01-13 10:09:00,118 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:09:00,118 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: resize
2025-01-13 10:09:00,125 | perf_monitor.precision | DEBUG | Started precision collection for preprocessing/resize_1
2025-01-13 10:09:00,125 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:09:00,126 | perf_monitor.manager | DEBUG | Started precision collection for stage: preprocessing, tag: resize
2025-01-13 10:09:00,129 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,129 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/resize_1, elapsed: 0.011432s
2025-01-13 10:09:00,130 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:09:00,130 | perf_monitor.precision | DEBUG | Ended precision collection for preprocessing/resize_1
2025-01-13 10:09:00,130 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: preprocessing, Tag: resize_1
2025-01-13 10:09:00,130 | perf_monitor.manager | DEBUG | Starting monitoring for preprocessing/augment, time enabled: True, precision enabled: False
2025-01-13 10:09:00,130 | perf_monitor.time | DEBUG | Started timing collection for preprocessing/augment_1
2025-01-13 10:09:00,130 | perf_monitor.time | DEBUG | Started monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 10:09:00,130 | perf_monitor.manager | DEBUG | Started timing collection for stage: preprocessing, tag: augment
2025-01-13 10:09:00,130 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,130 | perf_monitor.time | DEBUG | Ended timing collection for preprocessing/augment_1, elapsed: 0.000225s
2025-01-13 10:09:00,130 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: preprocessing, Tag: augment_1
2025-01-13 10:09:00,130 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:09:00,130 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.forward, time enabled: True, precision enabled: True
2025-01-13 10:09:00,131 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.forward_1
2025-01-13 10:09:00,131 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:09:00,131 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.forward
2025-01-13 10:09:00,137 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.forward_1
2025-01-13 10:09:00,138 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:09:00,138 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.forward
2025-01-13 10:09:00,170 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,171 | perf_monitor.time | DEBUG | Ended timing collection for inference/model1.forward_1, elapsed: 0.040043s
2025-01-13 10:09:00,171 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:09:00,171 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model1.forward_1
2025-01-13 10:09:00,171 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model1.forward_1
2025-01-13 10:09:00,171 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model1.decode, time enabled: True, precision enabled: True
2025-01-13 10:09:00,171 | perf_monitor.time | DEBUG | Started timing collection for inference/model1.decode_1
2025-01-13 10:09:00,171 | perf_monitor.time | DEBUG | Started monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,171 | perf_monitor.manager | DEBUG | Started timing collection for stage: inference, tag: model1.decode
2025-01-13 10:09:00,177 | perf_monitor.precision | DEBUG | Started precision collection for inference/model1.decode_1
2025-01-13 10:09:00,177 | perf_monitor.precision | DEBUG | Started monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,177 | perf_monitor.manager | DEBUG | Started precision collection for stage: inference, tag: model1.decode
2025-01-13 10:09:00,178 | perf_monitor.manager | DEBUG | Starting monitoring for postprocessing/decode, time enabled: True, precision enabled: False
2025-01-13 10:09:00,178 | perf_monitor.time | DEBUG | Started timing collection for postprocessing/decode_1
2025-01-13 10:09:00,178 | perf_monitor.time | DEBUG | Started monitoring block - Stage: postprocessing, Tag: decode_1
2025-01-13 10:09:00,178 | perf_monitor.manager | DEBUG | Started timing collection for stage: postprocessing, tag: decode
2025-01-13 10:09:00,184 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,184 | perf_monitor.time | DEBUG | Ended timing collection for postprocessing/decode_1, elapsed: 0.006130s
2025-01-13 10:09:00,184 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: postprocessing, Tag: decode_1
2025-01-13 10:09:00,184 | perf_monitor.precision | DEBUG | Ended precision collection for inference/model1.decode_1
2025-01-13 10:09:00,184 | perf_monitor.precision | DEBUG | [precision] Ended monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,184 | perf_monitor.manager | DEBUG | Ending monitoring, time collector: True, precision collector: True
2025-01-13 10:09:00,184 | perf_monitor.time | DEBUG | Ended timing collection for inference/model1.decode_1, elapsed: 0.013043s
2025-01-13 10:09:00,184 | perf_monitor.time | DEBUG | [time] Ended monitoring block - Stage: inference, Tag: model1.decode_1
2025-01-13 10:09:00,184 | perf_monitor.precision | WARNING | [precision] No active monitoring block to end of None
2025-01-13 10:09:00,184 | perf_monitor.manager | DEBUG | Starting monitoring for inference/model2.forward, time enabled: True, precision enabled: True
2025-01-13 10:09:00,184 | perf_monitor.time | DEBUG | Started timing collection for inference/model2.forward_1
